English,Korean,Dictation
Cheek,뺨,ppyam
Chin,턱,teog
Dimple,보조개,bojogae
Ear,귀,gwi
Eye,눈,nun
Eyebrow,눈썹,nunsseop
Eyelid,눈꺼풀,nunkkeopul
Face,얼굴,eolgul
Finger,손가락,songarak
Fingernail,손톱,sontop
Fist,주먹,jumeok
Foot,발,bal
Forehead,이마,ima
Gum,잇몸,itmom
Hair,머리카락,meorikarag
Hand,손,son
Head,머리,meori
Index Finger,검지,geomji
Knee,무릎,mureup
Leg,다리,dari
Lips,입술,ipsul
Mouth,입,ip
Navel,배꼽,baekkop
Neck,목,mok
Nose,코,ko
Palm (Hand ),손바닥,sonbadak
Shoulder,어깨,eokkae
Skin,피부,pibu
Thigh,허벅지,heobeokji
Thumb,엄지,eomji
Toe,발가락,balgarak
Toe nail,발톱,baltop
Tongue,혀,hyeo
Tooth,"이, 이빨","I, ippal"
Waist,허리,heori
Wrist,손목,sonmok
"Specifically, Concretely",구체적으로,guche-jeogeuro
"Actively, Positively",적극적으로,jokkkeuk-jeogeuro
"Practically, In Reality",실제적으로,silje-jeogeuro
"Personally, Individually",개인적으로,gaein-jeogeuro
"Formally, Officially",공식적으로,gongsik-jeogeuro
"Basically, Fundamentally",기본적으로,gibon-jeogeuro
Intentionally,의도적으로,uido-jeogeuro
Psychologically,심리적으로,simni-jeogeuro
Slowly,천천히,cheoncheonhi
Diligently,열심히,yeohshimhi
Honestly,솔직히,soljikhi
By Chance,우연히,uyeonhi
In Detail,자세히,jasehi
Especially,특별히,deukpyeorhi
Certainly,확실히,hwakshirhi
Simply,간단히,gandanhi
Carefully,정류장,joshimhi
Doctor,의사,uisa
Nurse,간호사,ganhosa
Injection,주사,jusa
Pharmacist,약사,yaksa
Medicine,약,yak
Cancer,암,Aam
Cough,기침,gichim
Flu,독감,dokgam
Vomiting,구토,guto
Paralysis,마비,mabi
Toothache,치통,chitong
Constipation,변비,byeonbi
Runny Nose,콧물,konmul
Fever,열,yeol
Pregnancy,임신,imsin
Childbirth,출산,chulsan
Abortion,낙태,naktae
Operation,수술,susul
Hospitalization,입원,ibwon
Hospital Discharge,퇴원,toewon
Diabetes,당뇨병,dangnyo
High Blood Pressure,고혈압,gohyeorap
Low Blood Pressure,저혈압,jeohyeorap
Malnutrition,영양실조,yeongyangsiljo
Death,사망,samang
Sickness,병,byeong
Prescription,처방,cheobang
Consultation Room,진료실,jillyosil
Emergency Room,응급실,eunggeupsil
Common Cold,감기,gamgi
To Have Pain,아파요,apayo
Pain In Body Part,Body part 아파요,Body part apayo
